Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
12,750,900,150,0,0.2,0,637,113,0,0,150,0.005556000003707595
13,750,900,150,0,0.2,0,637,113,0,0,150,0.005597600000328384
14,750,900,150,0,0.2,0,637,113,0,0,150,0.005546799999137875
15,750,900,150,0,0.2,0,637,113,0,0,150,0.005561500001931563
16,750,900,150,0,0.2,0,637,113,0,0,150,0.0055778000023565255
17,750,900,150,0,0.2,0,637,113,0,0,150,0.005559900004300289
18,750,900,150,0,0.2,0,637,113,0,0,150,0.00556489999871701
19,750,900,150,0,0.2,0,637,113,0,0,150,0.005743399997300003
20,750,900,150,0,0.2,0,637,113,0,0,150,0.005764000001363456
21,750,900,150,0,0.2,0,637,113,0,0,150,0.005847700005688239
22,750,900,150,0,0.2,0,637,113,0,0,150,0.005896499998925719
23,750,900,150,0,0.2,0,637,113,0,0,150,0.005914699999266304
24,750,900,150,0,0.2,0,637,113,0,0,150,0.006138900003861636
25,750,900,150,0,0.2,0,637,113,0,0,150,0.005845100000442471
26,750,900,150,0,0.2,0,637,113,0,0,150,0.005629900006169919
27,750,900,150,0,0.2,0,637,113,0,0,150,0.005585799997788854
28,750,900,150,0,0.2,0,637,113,0,0,150,0.005677900000591762
29,750,900,150,0,0.2,0,637,113,0,0,150,0.005596899994998239
0,1000,1050,50,0,0.05,0,863,137,75,75,50,0.004207499994663522
1,1000,1050,50,0,0.05,0,863,137,75,75,50,0.00509299999976065
2,1000,1050,50,0,0.05,0,863,137,75,75,50,0.0047664000012446195
3,1000,1050,50,0,0.05,0,863,137,75,75,50,0.003985200004535727
4,1000,1050,50,0,0.05,0,863,137,75,75,50,0.003983399998105597
5,1000,1050,50,0,0.05,0,863,137,75,75,50,0.004046999994898215
6,1000,1050,50,0,0.05,0,863,137,75,75,50,0.0039969999997993
